trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-27.983069996151983,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-175.77734905492312,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-54.13366427876488,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-54.6064245194738,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-83.90764204953639,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-117.3155319694715,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-21.92109368164278,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-112.72327421950577,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-103.7185208329623,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,12,-67.01679628894401,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-2.7394900706444796,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-21.620749474689188,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-77.17440197366862,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-81.06384189711181,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-152.79790147609702,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,21.87109536883571,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,29.120588370258492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,9.8348295321343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,6,39.14678317206716,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,18.358667740572624,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,18.48911478831057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,24,8.812864318216898,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,18.312126612158572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,24.950997840698626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,23,11.842767800855132,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,-19.386594875450985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,11,19.683011596236057,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,8,33.91854250281883,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,37.89322938077259,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,10,24.573087578481424,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
