trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-136.44868191891112,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-37.64063231638129,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-143.64381417558283,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-104.28990655345193,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-72.44048234016394,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-80.76708579733737,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-26.251476335284835,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-229.4419289289455,"{0: 8, 1: 4, 2: 10, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-79.63406106134194,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-175.59690466106073,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-90.07839734272146,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-42.578910478406506,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-72.62794091913018,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-70.31194377212813,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,1,-223.0429275526272,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 4}",1
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-205.48290859201427,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-98.97559198124391,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-141.47716365437333,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-98.7669429163817,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,0,-177.96912596577164,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
