trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.07318467032262,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.8650982887102,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.86804191221248,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.12744987407292,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-11.283190635604498,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.7670169669277,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.699803320155155,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.26696481139973,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.11300602652409,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.73513651256195,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-266.6739582676443,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.23007113648855,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.49506273366286,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.31831850739262,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.67953561001394,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.8321399343019,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.37144256358536,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.03983663808327,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.89271636061522,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.25173421792003,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.28646548789234,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-220.73824817669572,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,3,-128.69745133418095,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.16691218465898,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-9.915131281808845,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.02147616932513,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,5,-126.2068865794888,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.48854735875956,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.00389693814995,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.60899363759982,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
